device_name,product_code,device_class,medical_specialty_description,decision_code,decision_date,implant_flag,life_sustain_support_flag,k_number,source,pathway,decision_year
Quantimune T-4 Fia,Cdx,Unknown,Unknown,SESE,1979-07-30,N,N,K790576,510k,510k,1979
Dade(R) Immunoadsorbed Fact V Def Plasma (Human),Gjt,Unknown,Unknown,SESE,1991-09-10,N,N,K912679,510k,510k,1991
Axicare Breast Pump Model,Hgx,Unknown,Unknown,SESE,1981-06-12,N,N,K811403,510k,510k,1981
Trans/R Needle Guide,Iyo,Unknown,Unknown,SESE,1988-04-15,N,N,K875128,510k,510k,1988
Strep B Polyvalent Fluoro-Kit,Gtx,Unknown,Unknown,SESE,1980-09-16,N,N,K801876,510k,510k,1980
Biomechanics Force Platform #Lg6-4-1000 & 2000,Khx,Unknown,Unknown,SESE,1988-10-24,N,N,K883131,510k,510k,1988
Osteomed Quickfix,Dzl,Unknown,Unknown,SESE,1997-10-10,N,N,K962774,510k,510k,1997
Urea Nitrogen (Bun) Liquid Reagent,Cdq,Unknown,Unknown,SESE,1998-04-16,N,N,K981106,510k,510k,1998
"Imix 2000 Digital Radiography System, Models Unv 3K, Unv 3Kw, Unv 4K",Kpr,Unknown,Unknown,SESE,2007-11-21,N,N,K072867,510k,510k,2007
Medsol Goldenberg Bone Marrow Biopsy Needle,Knw,Unknown,Unknown,SESE,1998-12-10,N,N,K983187,510k,510k,1998
Pace *Aid Model 52,Dro,Unknown,Unknown,SESE,1984-12-17,N,N,K843547,510k,510k,1984
Communitrach Tube,Bto,Unknown,Unknown,SESE,1983-01-08,N,N,K823291,510k,510k,1983
Mentor Cpx  4 Plus Enhance Breast Tissue Expander,Lcj,Unknown,Unknown,SESE,2025-01-12,N,N,K243836,510k,510k,2025
Orthofix Contours Proimal Humeral Plate (Php),Ktw,Unknown,Unknown,SESE,2012-09-20,N,N,K122541,510k,510k,2012
Flower Ankle Plating Set,Hrs,Unknown,Unknown,SESE,2013-11-18,N,N,K133102,510k,510k,2013
Straight Stud Attachment,Nha,Unknown,Unknown,SESE,2014-12-24,N,N,K142407,510k,510k,2014
3M Red Dot Radiolucent Monitoring Electrode With Conductive Adhesive,Drx,Unknown,Unknown,SESE,2000-05-17,N,N,K000690,510k,510k,2000
Endomina Ezfuse System,Ocw,Unknown,Unknown,SESE,2026-02-13,N,N,K252400,510k,510k,2026
9.6% Hydrofluoric Acid Gel,Kle,Unknown,Unknown,SESE,1990-02-14,N,N,K896655,510k,510k,1990
F-11 Reflector / F-Ii Standard Reflector,Eaz,Unknown,Unknown,SESE,1986-09-29,N,N,K863019,510k,510k,1986
"50 W Metal Halide Illuminator, Ves 0501.",Fcw,Unknown,Unknown,SESE,1999-10-20,N,N,K992447,510k,510k,1999
"Focus J81F, J83F, J41F, J43F Pacing Leads",Dtb,Unknown,Unknown,SESE,1990-07-17,N,N,K896742,510k,510k,1990
Aurecast 83,Ejt,Unknown,Unknown,SESE,1997-08-28,N,N,K972942,510k,510k,1997
"Emds(Tm) Lactic Dehydrogenase Testpacks, #67660/95",Cfj,Unknown,Unknown,SESE,1986-09-26,N,N,K863477,510k,510k,1986
"Sirius Pintuition Seed, Sirius Pintuition Probe, Sirius Pintuition Base Unit",Pby,Unknown,Unknown,SESE,2023-11-09,N,N,K223682,510k,510k,2023
Ap3600 Automated Instrument,Dhb,Unknown,Unknown,SESE,2019-03-19,N,N,K182793,510k,510k,2019
Accelerator Reciprocating Cannula,Qpb,Unknown,Unknown,SESE,2000-08-04,N,N,K001803,510k,510k,2000
