device_class_enc,medical_specialty_description_enc,implant_flag_bin,life_sustain_support_flag_bin,pathway
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
1,18,0,0,510k
